Date,Product,Category,UnitsSold,UnitPrice,Revenue,PromoUsed,Channel,CustomerID
2025-01-01,"Face Mask",skincare,3,18,54,False,In-Store,CUST6578
2025-01-01,"Shea Body Butter",skincare,4,25,100,True,In-Store,CUST9322
2025-01-01,"Vitamin C Serum",skincare,2,30,60,True,Instagram,CUST7949
2025-01-01,"Vitamin C Serum",skincare,2,30,60,True,In-Store,CUST5555
2025-01-01,"Body Scrub",skincare,2,20,40,False,In-Store,CUST9666
2025-01-01,"Face Mask",skincare,3,18,54,False,In-Store,CUST3747
2025-01-01,"Brow Pencil",makeup,4,10,40,True,In-Store,CUST4005
2025-01-01,"Shea Body Butter",skincare,3,25,75,False,Instagram,CUST2528
2025-01-01,"Lip Gloss",makeup,3,12,36,False,Instagram,CUST6393
2025-01-01,"Shea Body Butter",skincare,4,25,100,False,In-Store,CUST8513
2025-01-01,"Vitamin C Serum",skincare,1,30,30,True,In-Store,CUST8099
2025-01-01,"Hair Growth Oil",haircare,3,22,66,False,Instagram,CUST9226
2025-01-01,"Shea Body Butter",skincare,2,25,50,False,In-Store,CUST8555
2025-01-01,"Vitamin C Serum",skincare,2,30,60,False,In-Store,CUST4843
2025-01-01,"Face Mask",skincare,2,18,36,True,Instagram,CUST6675
2025-01-01,"Hair Growth Oil",haircare,2,22,44,False,Instagram,CUST8629
2025-01-01,"Vitamin C Serum",skincare,3,30,90,False,Instagram,CUST8892
2025-01-01,"Hair Growth Oil",haircare,4,22,88,False,In-Store,CUST5887
2025-01-01,"Brow Pencil",makeup,2,10,20,False,Instagram,CUST9684
2025-01-01,"Shea Body Butter",skincare,1,25,25,True,In-Store,CUST9006
2025-01-01,"Brow Pencil",makeup,1,10,10,False,In-Store,CUST6258
2025-01-01,"Face Mask",skincare,3,18,54,False,Instagram,CUST6892
2025-01-01,"Vitamin C Serum",skincare,2,30,60,False,In-Store,CUST7278
2025-01-01,"Shea Body Butter",skincare,1,25,25,False,In-Store,CUST8215
2025-01-01,"Edge Control",haircare,3,15,45,True,In-Store,CUST3731
2025-01-01,"Vitamin C Serum",skincare,4,30,120,True,In-Store,CUST9110
2025-01-01,"Shea Body Butter",skincare,2,25,50,False,Instagram,CUST1502
2025-01-01,"Shea Body Butter",skincare,3,25,75,True,In-Store,CUST1206
2025-01-01,"Brow Pencil",makeup,3,10,30,True,In-Store,CUST8858
2025-01-01,"Face Mask",skincare,3,18,54,False,In-Store,CUST6116
2025-01-01,"Brow Pencil",makeup,4,10,40,False,In-Store,CUST7374
2025-01-01,"Body Scrub",skincare,1,20,20,False,In-Store,CUST7668
2025-01-01,"Hair Growth Oil",haircare,4,22,88,False,Instagram,CUST6915
2025-01-01,"Edge Control",haircare,2,15,30,False,In-Store,CUST3693
2025-01-01,"Lip Gloss",makeup,4,12,48,False,In-Store,CUST6450
2025-01-01,"Hair Growth Oil",haircare,4,22,88,False,Instagram,CUST8392
2025-01-01,"Brow Pencil",makeup,1,10,10,True,In-Store,CUST6864
2025-01-02,"Face Mask",skincare,3,18,54,False,In-Store,CUST1663
2025-01-02,"Brow Pencil",makeup,3,10,30,True,In-Store,CUST2495
2025-01-02,"Hair Growth Oil",haircare,1,22,22,False,In-Store,CUST7585
2025-01-02,"Body Scrub",skincare,4,20,80,True,Instagram,CUST8554
2025-01-02,"Shea Body Butter",skincare,1,25,25,True,Instagram,CUST1698
2025-01-02,"Vitamin C Serum",skincare,1,30,30,False,In-Store,CUST1854
2025-01-02,"Vitamin C Serum",skincare,1,30,30,True,Instagram,CUST6249
2025-01-02,"Shea Body Butter",skincare,1,25,25,False,Instagram,CUST6535
2025-01-02,"Vitamin C Serum",skincare,3,30,90,False,Instagram,CUST5218
2025-01-02,"Shea Body Butter",skincare,1,25,25,False,In-Store,CUST3931
2025-01-02,"Vitamin C Serum",skincare,2,30,60,False,In-Store,CUST7287
2025-01-02,"Face Mask",skincare,1,18,18,True,In-Store,CUST3511
2025-01-02,"Lip Gloss",makeup,1,12,12,False,In-Store,CUST7546
2025-01-02,"Lip Gloss",makeup,2,12,24,False,In-Store,CUST3911
2025-01-02,"Vitamin C Serum",skincare,3,30,90,True,Instagram,CUST6759
2025-01-03,"Vitamin C Serum",skincare,3,30,90,True,In-Store,CUST6534
2025-01-03,"Edge Control",haircare,2,15,30,False,In-Store,CUST7287
2025-01-03,"Face Mask",skincare,2,18,36,False,In-Store,CUST3049
2025-01-03,"Face Mask",skincare,1,18,18,True,Instagram,CUST4108
2025-01-03,"Shea Body Butter",skincare,4,25,100,False,In-Store,CUST4170
2025-01-03,"Body Scrub",skincare,3,20,60,False,Instagram,CUST7295
2025-01-03,"Shea Body Butter",skincare,2,25,50,False,Instagram,CUST2648
2025-01-03,"Lip Gloss",makeup,4,12,48,False,Instagram,CUST9445
2025-01-03,"Edge Control",haircare,3,15,45,False,Instagram,CUST3200
2025-01-03,"Face Mask",skincare,1,18,18,True,In-Store,CUST3869
2025-01-03,"Hair Growth Oil",haircare,3,22,66,False,In-Store,CUST9352
2025-01-03,"Face Mask",skincare,4,18,72,True,In-Store,CUST4987
2025-01-03,"Brow Pencil",makeup,4,10,40,False,Instagram,CUST5496
2025-01-03,"Body Scrub",skincare,4,20,80,False,In-Store,CUST9050
2025-01-03,"Vitamin C Serum",skincare,2,30,60,True,In-Store,CUST4436
2025-01-03,"Shea Body Butter",skincare,3,25,75,False,Instagram,CUST1225
2025-01-03,"Vitamin C Serum",skincare,1,30,30,False,In-Store,CUST6600
2025-01-03,"Vitamin C Serum",skincare,1,30,30,True,In-Store,CUST8683
2025-01-04,"Vitamin C Serum",skincare,4,30,120,True,In-Store,CUST1606
2025-01-04,"Edge Control",haircare,3,15,45,False,In-Store,CUST1980
2025-01-04,"Brow Pencil",makeup,4,10,40,False,In-Store,CUST9319
2025-01-04,"Vitamin C Serum",skincare,2,30,60,False,Instagram,CUST1569
2025-01-04,"Face Mask",skincare,3,18,54,False,In-Store,CUST8455
2025-01-04,"Lip Gloss",makeup,3,12,36,False,In-Store,CUST1154
2025-01-04,"Edge Control",haircare,2,15,30,False,Instagram,CUST9096
2025-01-04,"Lip Gloss",makeup,1,12,12,False,In-Store,CUST6596
2025-01-04,"Vitamin C Serum",skincare,2,30,60,False,Instagram,CUST9716
2025-01-04,"Vitamin C Serum",skincare,4,30,120,False,In-Store,CUST5780
2025-01-04,"Hair Growth Oil",haircare,4,22,88,False,Instagram,CUST5495
2025-01-04,"Vitamin C Serum",skincare,2,30,60,False,In-Store,CUST6919
2025-01-04,"Hair Growth Oil",haircare,3,22,66,False,In-Store,CUST4769
2025-01-04,"Brow Pencil",makeup,3,10,30,False,Instagram,CUST8509
2025-01-04,"Lip Gloss",makeup,1,12,12,True,Instagram,CUST3491
2025-01-04,"Vitamin C Serum",skincare,1,30,30,False,Instagram,CUST4051
2025-01-04,"Edge Control",haircare,4,15,60,False,In-Store,CUST1876
2025-01-04,"Hair Growth Oil",haircare,4,22,88,False,In-Store,CUST7966
2025-01-04,"Shea Body Butter",skincare,4,25,100,False,Instagram,CUST1635
2025-01-04,"Shea Body Butter",skincare,2,25,50,True,Instagram,CUST1830
2025-01-04,"Shea Body Butter",skincare,3,25,75,False,In-Store,CUST9932
2025-01-04,"Face Mask",skincare,2,18,36,False,Instagram,CUST8560
2025-01-04,"Body Scrub",skincare,4,20,80,False,In-Store,CUST1512
2025-01-04,"Lip Gloss",makeup,3,12,36,True,In-Store,CUST1559
2025-01-04,"Shea Body Butter",skincare,1,25,25,False,In-Store,CUST4343
2025-01-04,"Lip Gloss",makeup,1,12,12,False,In-Store,CUST8004
2025-01-04,"Edge Control",haircare,3,15,45,True,In-Store,CUST4506
2025-01-04,"Hair Growth Oil",haircare,1,22,22,True,In-Store,CUST6188
2025-01-05,"Edge Control",haircare,2,15,30,False,In-Store,CUST7617
2025-01-05,"Brow Pencil",makeup,4,10,40,False,In-Store,CUST8421
2025-01-05,"Shea Body Butter",skincare,2,25,50,False,In-Store,CUST3849
2025-01-05,"Body Scrub",skincare,4,20,80,False,Instagram,CUST3489
2025-01-05,"Face Mask",skincare,4,18,72,False,Instagram,CUST5611
2025-01-05,"Hair Growth Oil",haircare,4,22,88,True,Instagram,CUST7303
2025-01-05,"Vitamin C Serum",skincare,3,30,90,False,Instagram,CUST3427
2025-01-05,"Face Mask",skincare,1,18,18,False,In-Store,CUST6732
2025-01-05,"Shea Body Butter",skincare,4,25,100,False,Instagram,CUST4913
2025-01-05,"Lip Gloss",makeup,3,12,36,True,In-Store,CUST6726
2025-01-05,"Lip Gloss",makeup,2,12,24,True,In-Store,CUST3082
2025-01-06,"Edge Control",haircare,1,15,15,False,In-Store,CUST1417
2025-01-06,"Brow Pencil",makeup,3,10,30,True,In-Store,CUST8668
2025-01-06,"Vitamin C Serum",skincare,2,30,60,False,Instagram,CUST8587
2025-01-06,"Hair Growth Oil",haircare,1,22,22,False,In-Store,CUST6988
2025-01-06,"Shea Body Butter",skincare,1,25,25,False,In-Store,CUST2122
2025-01-06,"Edge Control",haircare,4,15,60,True,In-Store,CUST3143
2025-01-06,"Brow Pencil",makeup,4,10,40,False,In-Store,CUST4440
2025-01-06,"Vitamin C Serum",skincare,3,30,90,False,Instagram,CUST5968
2025-01-06,"Face Mask",skincare,2,18,36,False,In-Store,CUST1728
2025-01-06,"Face Mask",skincare,2,18,36,True,In-Store,CUST1395
2025-01-06,"Shea Body Butter",skincare,1,25,25,False,In-Store,CUST3502
2025-01-06,"Body Scrub",skincare,4,20,80,False,Instagram,CUST5946
2025-01-06,"Hair Growth Oil",haircare,2,22,44,False,In-Store,CUST8266
2025-01-06,"Body Scrub",skincare,4,20,80,True,Instagram,CUST8651
2025-01-06,"Hair Growth Oil",haircare,1,22,22,False,Instagram,CUST3156
2025-01-06,"Shea Body Butter",skincare,1,25,25,False,In-Store,CUST5729
2025-01-07,"Vitamin C Serum",skincare,3,30,90,False,Instagram,CUST8241
2025-01-07,"Shea Body Butter",skincare,2,25,50,False,In-Store,CUST2542
2025-01-07,"Edge Control",haircare,2,15,30,False,In-Store,CUST7938
2025-01-07,"Brow Pencil",makeup,2,10,20,True,In-Store,CUST6541
2025-01-07,"Brow Pencil",makeup,3,10,30,False,Instagram,CUST2365
2025-01-07,"Vitamin C Serum",skincare,4,30,120,True,Instagram,CUST2324
2025-01-07,"Shea Body Butter",skincare,4,25,100,False,Instagram,CUST2810
2025-01-07,"Brow Pencil",makeup,1,10,10,False,Instagram,CUST9905
2025-01-07,"Edge Control",haircare,2,15,30,True,In-Store,CUST5268
2025-01-07,"Shea Body Butter",skincare,1,25,25,False,In-Store,CUST7619
2025-01-07,"Lip Gloss",makeup,4,12,48,True,Instagram,CUST4072
2025-01-07,"Shea Body Butter",skincare,3,25,75,False,Instagram,CUST2214
2025-01-07,"Body Scrub",skincare,4,20,80,True,Instagram,CUST6029
2025-01-07,"Body Scrub",skincare,1,20,20,False,In-Store,CUST7316
2025-01-07,"Shea Body Butter",skincare,1,25,25,True,In-Store,CUST6348
2025-01-07,"Lip Gloss",makeup,4,12,48,False,Instagram,CUST7190
2025-01-07,"Hair Growth Oil",haircare,1,22,22,True,In-Store,CUST4584
2025-01-08,"Vitamin C Serum",skincare,4,30,120,False,Instagram,CUST2353
2025-01-08,"Brow Pencil",makeup,4,10,40,True,In-Store,CUST8575
2025-01-08,"Lip Gloss",makeup,4,12,48,True,In-Store,CUST7819
2025-01-08,"Vitamin C Serum",skincare,2,30,60,False,In-Store,CUST1539
2025-01-08,"Hair Growth Oil",haircare,4,22,88,False,In-Store,CUST7042
2025-01-08,"Body Scrub",skincare,2,20,40,True,In-Store,CUST7132
2025-01-08,"Vitamin C Serum",skincare,4,30,120,False,In-Store,CUST2581
2025-01-08,"Vitamin C Serum",skincare,3,30,90,False,Instagram,CUST1255
